unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
23210181_2024_4,2024-10-30 19:05:00,2024,Wta Chall,Clay,1/16-Finals,Santa Cruz Chall. Women,169028,Branstine C.,898497,Koevermans A.,,,1.0,1
40304760_2024_4,2024-10-30 19:05:00,2024,Wta Chall,Clay,1/16-Finals,Santa Cruz Chall. Women,149526,Janicijevic S.,826019,Mladenovic K.,,,1.0,1
12423191_2024_2,2024-10-30 19:15:00,2024,Wta Tour,Hard,1/16-Finals,Merida WTA,126579,Tsurenko L.,126226,Blinkova A.,,,2.0,0
97371326_2024_2,2024-10-30 20:40:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,619460,Li A.,651454,Ruzic A.,,,1.0,1
16484005_2024_4,2024-10-30 20:45:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,328017,Pigossi L.,605419,Wuerth T.,,,2.0,0
18382149_2024_4,2024-10-30 21:35:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,275150,Romero Gormaz L.,794930,Jones F.,,,1.0,1
17857223_2024_4,2024-10-31 00:05:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,741705,Arango E.,525889,Vergara Rivera A.,,,1.0,1
82311787_2024_2,2024-10-31 04:10:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,595819,Bouzas Maneiro J.,988932,Golubic V.,,,2.0,0
27972034_2024_2,2024-10-31 05:30:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,334255,Fruhvirtova L.,342785,Rus A.,,,2.0,0
22159702_2024_2,2024-10-31 06:10:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,323630,Gracheva V.,926087,Zakharova A.,,,2.0,0
45987223_2024_2,2024-10-31 06:10:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,689373,Lamens S.,480371,Bucsa C.,,,1.0,1
90015095_2024_2,2024-10-31 08:05:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,500520,Wei S.,123538,Sramkova R.,,,2.0,0
20993565_2024_2,2024-10-31 08:50:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,549141,Kenin S.,673787,Ponchet J.,,,1.0,1
86878816_2024_2,2024-10-31 10:05:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,610520,Bondar A.,357952,Trevisan M.,,,2.0,0
43673082_2024_2,2024-10-31 10:40:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,914953,Fernandez L.,851560,Birrell K.,,,1.0,1
29105095_2024_2,2024-10-31 17:00:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,920327,Teichmann J.,389789,Tomljanovic A.,,,1.0,1
96081380_2024_4,2024-10-31 20:05:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,762933,Semenistaja D.,149526,Janicijevic S.,,,1.0,1
26512237_2024_2,2024-10-31 20:10:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,958557,Lepchenko V.,824108,Kudermetova P.,,,2.0,0
