unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
46660917_2024_1,853474,957369,42.0,66.0,Hard,2024,2024-08-07 17:00:00,Atp Tour,1,Davidovich Fokina A.,Safiullin R.
25656436_2024_1,659243,342082,15.0,23.0,Hard,2024,2024-08-07 17:15:00,Atp Tour,1,Humbert U.,Fils A.
65187173_2024_3,684679,949289,187.0,307.0,Clay,2024,2024-08-07 17:40:00,Atp Chall,1,Popko D.,Clarke J.
72859599_2024_3,786116,396168,756.0,260.0,Clay,2024,2024-08-07 17:45:00,Atp Chall,0,Rodriguez J. A.,Mejia N.
43837377_2024_1,663803,443298,94.0,45.0,Hard,2024,2024-08-07 17:50:00,Atp Tour,1,Coric B.,Martinez P.
98871862_2024_1,952560,895687,106.0,52.0,Hard,2024,2024-08-07 18:35:00,Atp Tour,0,Shapovalov D.,Nakashima B.
27084564_2024_3,207007,429614,112.0,202.0,Hard,2024,2024-08-07 18:40:00,Atp Chall,0,Mayot H.,Schoolkate T.
70665534_2024_1,656194,123040,80.0,37.0,Hard,2024,2024-08-07 18:45:00,Atp Tour,1,Duckworth J.,Giron M.
48494518_2024_3,262073,177145,250.0,566.0,Clay,2024,2024-08-07 19:15:00,Atp Chall,1,Arnaboldi F.,Pecci A.
24700885_2024_3,130717,682682,196.0,111.0,Hard,2024,2024-08-07 19:15:00,Atp Chall,1,Jubb P.,van Assche L.
77027953_2024_1,338460,361742,62.0,39.0,Hard,2024,2024-08-07 19:40:00,Atp Tour,1,Popyrin A.,Machac T.
32735157_2024_3,839524,341458,285.0,138.0,Clay,2024,2024-08-07 20:00:00,Atp Chall,0,Sakamoto P.,Bagnis F.
71946733_2024_1,106539,723636,36.0,13.0,Hard,2024,2024-08-07 20:05:00,Atp Tour,0,Navone M.,Fritz T.
12547629_2024_1,136276,954504,31.0,65.0,Hard,2024,2024-08-07 20:15:00,Atp Tour,0,Mannarino A.,Rinderknech A.
85710691_2024_3,385249,924009,1017.0,295.0,Hard,2024,2024-08-07 20:15:00,Atp Chall,0,Williams C.,Basavareddy N.
76517279_2024_1,261903,120068,18.0,610.0,Hard,2024,2024-08-07 23:05:00,Atp Tour,1,Korda S.,Pospisil V.
92039082_2024_1,710995,374892,19.0,33.0,Hard,2024,2024-08-07 23:10:00,Atp Tour,0,Auger-Aliassime F.,Cobolli F.
22447051_2024_3,675276,392013,220.0,134.0,Hard,2024,2024-08-07 23:35:00,Atp Chall,0,Zhukayev B.,Bu Y.
60261070_2024_1,134469,258056,81.0,34.0,Hard,2024,2024-08-08 00:40:00,Atp Tour,1,Kokkinakis T.,Monfils G.
63779438_2024_3,550299,808126,259.0,223.0,Clay,2024,2024-08-08 10:25:00,Atp Chall,0,Blancaneaux G.,Choinski J.
18666056_2024_3,574262,686469,238.0,209.0,Clay,2024,2024-08-08 13:05:00,Atp Chall,0,Jianu F. C.,Hemery C.
48992726_2024_3,624813,702197,130.0,244.0,Clay,2024,2024-08-08 13:45:00,Atp Chall,1,Dellien H.,Tabur C.
69816020_2024_3,783363,894620,221.0,513.0,Clay,2024,2024-08-08 13:45:00,Atp Chall,1,Gaubas V.,Ambrogi L. E.
96890106_2024_3,251549,270440,298.0,354.0,Clay,2024,2024-08-08 14:55:00,Atp Chall,1,Taberner C.,Kopp S.
80521428_2024_1,650985,895687,12.0,52.0,Hard,2024,2024-08-08 15:10:00,Atp Tour,0,Paul T.,Nakashima B.
88046825_2024_1,659243,601224,15.0,43.0,Hard,2024,2024-08-08 15:10:00,Atp Tour,0,Humbert U.,Borges N.
40800432_2024_1,412462,853474,5.0,42.0,Hard,2024,2024-08-08 15:10:00,Atp Tour,0,Medvedev D.,Davidovich Fokina A.
20732286_2024_1,876588,249143,576.0,11.0,Hard,2024,2024-08-08 15:10:00,Atp Tour,1,Nishikori K.,Tsitsipas S.
51513100_2024_3,575829,574441,372.0,281.0,Clay,2024,2024-08-08 15:30:00,Atp Chall,0,Cecchinato M.,Landaluce M.
67419420_2024_3,210284,660403,273.0,530.0,Clay,2024,2024-08-08 15:35:00,Atp Chall,1,Ficovich J. P.,Kingsley C.
66792403_2024_3,895281,272711,423.0,218.0,Clay,2024,2024-08-08 15:35:00,Atp Chall,1,Sell K.,Guillen Meza A.
51771511_2024_3,337733,232956,294.0,277.0,Clay,2024,2024-08-08 15:35:00,Atp Chall,1,Giustino L.,Vincent Ruggeri S.
87519967_2024_1,418622,433587,38.0,8.0,Hard,2024,2024-08-08 16:50:00,Atp Tour,0,Etcheverry T. M.,Rublev A.
91551352_2024_3,132962,735755,407.0,356.0,Clay,2024,2024-08-08 17:20:00,Atp Chall,0,Lock B.,Alves M.
42728929_2024_1,634863,404096,30.0,4.0,Hard,2024,2024-08-08 17:30:00,Atp Tour,0,Thompson J.,Zverev A.
91508488_2024_3,135443,162333,418.0,237.0,Clay,2024,2024-08-08 17:30:00,Atp Chall,0,Pacheco Mendez R.,Tomic B.
